,t,θ,dθ,ddθ,w1
0,0.0,0.0,0.0,0.0,0.0
1,0.002,1.614890320725493e-07,0.00024223155581666714,0.24222657510945692,-9.811288103019468e-08
2,0.004,1.2918644424102668e-06,0.0009688664562548592,0.48439338443601954,-7.845933857488896e-07
3,0.006,4.359773551059625e-06,0.002179725415025764,0.7264406769431063,-2.6467794766190272e-06
4,0.008,1.0333385620622368e-05,0.0038745096707997785,0.9683087310831227,-6.270416398563557e-06
5,0.01,2.018015297497257e-05,0.006052801060921391,1.209937869532859,-1.2239141754617772e-05
6,0.012,3.486657229486994e-05,0.008714062124584556,1.4512684739179769,-2.113397251351692e-05
7,0.014,5.535794614937143e-05,0.011857636235443132,1.6922409995229517,-3.35327943083779e-05
8,0.016,8.261814482186687e-05,0.015482747763623562,1.93279598998284,-5.0009853383803756e-05
9,0.018000000000000002,0.00011760936848950392,0.019588502267099975,2.172874091953247,-7.113525154667534e-05
10,0.02,0.00016129190981469633,0.024173886712384386,2.412416069754878,-9.747444447359799e-05
11,0.022,0.00021462391700727667,0.029237769724477454,2.651362819989053,-0.00012958774372544355
12,0.024,0.00027856115741574486,0.0347789018660185,2.889655386120589,-0.00016802982281667158
13,0.026000000000000002,0.00035405678170601567,0.04079591594556531,3.1272349730244424,-0.00021334922768413055
14,0.028,0.0004420610886857432,0.0472873273549283,3.3640429614925234,-0.00026608789189683143
15,0.03,0.000543521290832274,0.054251534435475236,3.60002092269711,-0.00032678065694475623
16,0.032,0.0006593812805821654,0.06168681887331672,3.835110632607292,-0.00039595479794111256
17,0.034,0.0007905813974398837,0.0695913461232742,4.06925408635487,-0.00047412955506857785
18,0.036000000000000004,0.0009380581959630265,0.07796316586152674,4.302393512546194,-0.0005618156710959945
19,0.038,0.0011027442146815953,0.08680021246682423,4.534471387516396,-0.0006595149352876821
20,0.04,0.0012855677460079757,0.09610030553014834,4.76543044952248,-0.0007677197340230283
21,0.042,0.0014874526071947283,0.10586115039269588,4.9952137128718075,-0.0008869126084393145
22,0.044,0.001709317912396474,0.11608033871205176,5.223764481982474,-0.0010175658194058147
23,0.046,0.0019520778458922707,0.12675534905641123,5.451026365372077,-0.0011601409201321018
24,0.048,0.0022166414365243077,0.13788354752670529,5.676943289571482,-0.001315088336708183
25,0.05,0.0025039123334085916,0.14946218840647638,5.901459512960111,-0.0014828469568685914
26,0.052000000000000005,0.002814788582973128,0.1614884148393422,6.124519639519353,-0.001663843727266873
27,0.054,0.0031501624073783222,0.17395925953388278,6.346068632500698,-0.0018584932595410374
28,0.056,0.00351091998437459,0.18687164549577495,6.566051828005235,-0.0020671974454444897
29,0.058,0.0038979412286512154,0.20022238678699478,6.784414948471153,-0.0022903450813107273
30,0.06,0.004312099574730555,0.21400818931190016,7.001104116065918,-0.0025283115021137014
31,0.062,0.0047542617614611425,0.2282256516299995,7.2160658659798145,-0.002781458225379153
32,0.064,0.005225287618162895,0.24287126579520618,7.429247159617588,-0.0030501326051955236
33,0.066,0.005726029852477071,0.257941418221372,7.640595397684941,-0.003334667496566135
34,0.068,0.006257333839973379,0.27343239057388535,7.850058433166598,-0.0036353809303373025
35,0.07,0.006820037415566224,0.28934036068711444,8.057584584192812,-0.003952575798929838
36,0.07200000000000001,0.007414970666791522,0.3056614035074702,8.263122646791109,-0.004286539553094076
37,0.074,0.008042955728994978,0.32239149206185347,8.466621907520064,-0.004637543909901069
